epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,5257.48,0.872,0.57262,1.06437,0.71966,0.57634,0.62191,0.4013,0.96808,0.60725,1.12334,0.005743,0.005743,0.005743
88,5968.4,0.86539,0.5625,1.06139,0.71121,0.59237,0.62155,0.40274,0.97002,0.60834,1.12409,0.0056935,0.0056935,0.0056935
89,6670.49,0.87123,0.57,1.06153,0.74802,0.57191,0.62621,0.4039,0.97525,0.60577,1.12644,0.005644,0.005644,0.005644
90,7372.56,0.86358,0.55936,1.05743,0.71339,0.58764,0.62917,0.40658,0.97424,0.60632,1.12488,0.0055945,0.0055945,0.0055945
91,8082.82,0.86151,0.5615,1.05711,0.72679,0.58965,0.63655,0.41163,0.97316,0.60468,1.124,0.005545,0.005545,0.005545
92,8784.32,0.8622,0.56061,1.05791,0.69939,0.60824,0.63739,0.41437,0.97117,0.60436,1.12282,0.0054955,0.0054955,0.0054955
93,916.532,0.82934,0.52379,1.04,0.72542,0.58228,0.63437,0.4133,0.97198,0.60408,1.12391,0.005446,0.005446,0.005446
94,1762.04,0.83676,0.53551,1.04382,0.72846,0.5825,0.63619,0.41527,0.97187,0.6033,1.12338,0.0053965,0.0053965,0.0053965
95,2601.94,0.83792,0.53701,1.04678,0.73916,0.57767,0.63556,0.41596,0.9735,0.60317,1.12512,0.005347,0.005347,0.005347
96,3427.13,0.83854,0.53977,1.04333,0.71957,0.59322,0.63432,0.41482,0.97334,0.60114,1.12586,0.0052975,0.0052975,0.0052975
97,4282.73,0.83773,0.53578,1.04551,0.73406,0.58824,0.63371,0.41148,0.97521,0.60237,1.12717,0.005248,0.005248,0.005248
98,5092.07,0.83477,0.53028,1.04179,0.73364,0.58715,0.63521,0.41291,0.97389,0.60387,1.12752,0.0051985,0.0051985,0.0051985
99,5982.87,0.83096,0.53052,1.03943,0.70293,0.60259,0.6284,0.4098,0.97433,0.60352,1.1288,0.005149,0.005149,0.005149
100,6832.49,0.82657,0.52535,1.03884,0.715,0.58851,0.62881,0.41015,0.97593,0.60182,1.12943,0.0050995,0.0050995,0.0050995
101,7663,0.83209,0.53096,1.04012,0.72028,0.58018,0.62613,0.40879,0.97592,0.60373,1.1299,0.00505,0.00505,0.00505
102,8531,0.82738,0.52434,1.03711,0.71327,0.5888,0.62673,0.4115,0.97664,0.60411,1.13156,0.0050005,0.0050005,0.0050005
103,9385.25,0.83213,0.5292,1.04023,0.68325,0.60826,0.63101,0.41561,0.97474,0.60192,1.13006,0.004951,0.004951,0.004951
104,10306.4,0.84074,0.53745,1.04452,0.71491,0.59096,0.63459,0.41713,0.972,0.60003,1.12711,0.0049015,0.0049015,0.0049015
105,11190.4,0.84717,0.54278,1.0517,0.73547,0.5922,0.63661,0.41893,0.9706,0.59897,1.12614,0.004852,0.004852,0.004852
106,12049.7,0.84332,0.53787,1.04458,0.75091,0.58512,0.63727,0.41849,0.96891,0.59769,1.12362,0.0048025,0.0048025,0.0048025
107,12882.2,0.84668,0.54447,1.04831,0.75188,0.58968,0.63502,0.41575,0.96946,0.59822,1.12491,0.004753,0.004753,0.004753
108,13747.9,0.84672,0.53828,1.04675,0.74152,0.59165,0.63475,0.41385,0.96912,0.5982,1.12404,0.0047035,0.0047035,0.0047035
109,14651.2,0.85295,0.54686,1.05054,0.72282,0.60086,0.63527,0.41408,0.96947,0.59708,1.12333,0.004654,0.004654,0.004654
110,15531.2,0.8564,0.55032,1.04985,0.77837,0.57618,0.63537,0.41591,0.9673,0.5969,1.12069,0.0046045,0.0046045,0.0046045
111,16370.1,0.85818,0.54593,1.05261,0.76477,0.58029,0.63547,0.41578,0.96536,0.59721,1.11813,0.004555,0.004555,0.004555
112,17231.8,0.85678,0.54906,1.04994,0.77474,0.56686,0.63519,0.417,0.96458,0.59594,1.11824,0.0045055,0.0045055,0.0045055
113,18062.7,0.85318,0.5458,1.04915,0.72934,0.588,0.63441,0.41555,0.96224,0.59421,1.11699,0.004456,0.004456,0.004456
